anime_id;Name;Score;Genres;Type;Premiered;Status;Studios
1;Cowboy Bebop;8.75;Action, Award Winning, Sci-Fi;TV;1998.4;Finished Airing;Sunrise
5;Cowboy Bebop: Tengoku no Tobira;8.38;Action, Sci-Fi;Movie;;Finished Airing;Bones
6;Trigun;8.22;Action, Adventure, Sci-Fi;TV;1998.4;Finished Airing;Madhouse
7;Witch Hunter Robin;7.25;Action, Drama, Mystery, Supernatural;TV;2002.1;Finished Airing;Sunrise
8;Bouken Ou Beet;6.94;Adventure, Fantasy, Supernatural;TV;2004.2;Finished Airing;Toei Animation
15;Eyeshield 21;7.92;Sports;TV;2005.4;Finished Airing;Gallop
16;Hachimitsu to Clover;8.0;Comedy, Drama, Romance;TV;2005.4;Finished Airing;J.C.Staff
17;Hungry Heart: Wild Striker;7.55;Comedy, Slice of Life, Sports;TV;2002.2;Finished Airing;Nippon Animation
18;Initial D Fourth Stage;8.16;Action, Drama;TV;2004.4;Finished Airing;A.C.G.T.
19;Monster;8.87;Drama, Mystery, Suspense;TV;2004.4;Finished Airing;Madhouse
20;Naruto;7.99;Action, Adventure, Fantasy;TV;2002.2;Finished Airing;Pierrot
21;One Piece;8.69;Action, Adventure, Fantasy;TV;1999.2;Currently Airing;Toei Animation
22;Tennis no Ouji-sama;7.86;Sports;TV;2001.2;Finished Airing;Trans Arts
23;Ring ni Kakero 1;6.39;Action, Sports;TV;2004.2;Finished Airing;Toei Animation
24;School Rumble;7.89;Comedy, Romance;TV;2004.2;Finished Airing;Studio Comet
25;Sunabouzu;7.38;Action, Adventure, Comedy, Sci-Fi, Ecchi;TV;2004.2;Finished Airing;Gonzo
26;Texhnolyze;7.76;Action, Drama, Sci-Fi;TV;2003.4;Finished Airing;Madhouse
27;Trinity Blood;7.29;Action, Supernatural;TV;2005.4;Finished Airing;Gonzo
28;Yakitate!! Japan;7.91;Comedy, Gourmet;TV;2004.2;Finished Airing;Sunrise
29;Zipang;7.48;Action, Drama, Sci-Fi;TV;2004.2;Finished Airing;Studio Deen
